brand,nome,preco,revenda,ano
KTM,250 Duke,332860,213065.8,2018
Bajaj,Avenger 220,77951,58220.21,2024
TVS,Ronin,119946,70010.31,2021
Yamaha,Ray ZR,161061,79906.81,2016
Kawasaki,Ninja 300,211015,132101.72,2015
TVS,Sport,272377,194324.61,2021
Royal Enfield,Interceptor 650,51819,40071.87,2015
Royal Enfield,Hunter 350,133542,74939.98,2024
KTM,RC 390,389950,235149.64,2019
Bajaj,CT 100,134121,78547.55,2024
Honda,Activa,223597,158829.93,2016
Yamaha,R15 V4,215325,100173.9,2020
TVS,Apache RTR 160,261298,162383.27,2016
Yamaha,R15 V4,348441,229069.06,2017
Yamaha,R15 V4,52332,34387.4,2019
Honda,Shine,342869,240583.32,2018
Hero,Passion Pro,178709,126289.57,2019
Hero,Splendor Plus,304466,177765.68,2015
KTM,250 Duke,340286,163750.28,2018
Kawasaki,Z650,297335,128081.71,2015
KTM,125 Duke,296622,132567.49,2021
Bajaj,Dominar 400,159344,80211.84,2015
Bajaj,CT 100,241907,144021.7,2024
Hero,Passion Pro,198952,103419.59,2021
TVS,Jupiter,164488,124264.09,2021
Royal Enfield,Interceptor 650,167254,129455.7,2020
Kawasaki,Z650,155574,121376.15,2024
Yamaha,Fascino 125,196186,83122.39,2023
TVS,Apache RTR 160,305039,215505.69,2017
Royal Enfield,Meteor 350,395649,265851.43,2017
Kawasaki,Vulcan S,369820,246408.54,2019
KTM,Duke 200,320626,156453.23,2022
TVS,Jupiter,59238,23956.86,2019
Hero,Passion Pro,329516,155553.74,2017
KTM,390 Adventure,356130,233134.59,2020
Royal Enfield,Hunter 350,112752,81759.61,2019
Honda,Unicorn,284450,167439.48,2019
Hero,HF Deluxe,139577,76341.38,2018
Yamaha,MT-15,78965,38817.63,2017
KTM,RC 390,399424,264211.83,2016
Kawasaki,Ninja 300,148025,116341.5,2015
Royal Enfield,Meteor 350,371689,201442.56,2017
Kawasaki,Ninja 400,215843,150887.27,2024
Royal Enfield,Hunter 350,149995,70595.68,2020
Royal Enfield,Meteor 350,135677,69640.3,2024
Royal Enfield,Hunter 350,274366,211887.68,2017
Kawasaki,Ninja 300,101679,51278.29,2016
KTM,250 Duke,370456,285118.2,2020
Hero,HF Deluxe,174191,111118.16,2017
Kawasaki,Vulcan S,373371,193837.42,2019
Honda,Activa,316877,172802.36,2019
TVS,Sport,213681,141674.8,2021
TVS,Apache RTR 160,133805,75051.13,2023
Hero,Splendor Plus,211399,95030.83,2023
Bajaj,Pulsar 150,311628,173323.11,2015
Yamaha,Ray ZR,167945,73557.17,2019
Royal Enfield,Interceptor 650,112747,47298.94,2016
Hero,Splendor Plus,392747,158485.92,2016
Yamaha,Fascino 125,338831,196061.24,2022
Bajaj,CT 100,178049,114981.3,2021
KTM,Duke 200,398287,274925.1,2016
TVS,Ronin,137017,79347.72,2023
Royal Enfield,Classic 350,75068,45342.56,2023
KTM,250 Duke,330157,208574.66,2023
TVS,Ronin,384386,220812.99,2019
TVS,Ronin,364764,148449.0,2022
KTM,RC 390,233560,161293.89,2019
Honda,Shine,269277,191053.38,2016
KTM,125 Duke,100351,53013.87,2019
Royal Enfield,Hunter 350,302081,214488.75,2017
Bajaj,Avenger 220,76803,45609.78,2023
Kawasaki,Ninja 400,240262,132803.73,2020
KTM,390 Adventure,262491,201684.49,2024
TVS,NTorq 125,188250,77958.01,2024
TVS,Jupiter,259405,158828.49,2015
Honda,Dio,103418,80402.38,2023
KTM,390 Adventure,224150,133998.39,2018
Bajaj,Dominar 400,283810,133101.51,2016
Kawasaki,Versys 650,267705,122729.96,2022
Hero,Glamour,356042,246954.48,2015
KTM,125 Duke,188519,88738.4,2019
Bajaj,Dominar 400,275802,128595.97,2017
Yamaha,MT-15,70854,46261.22,2016
Hero,Xtreme 160R,339286,183497.96,2021
Bajaj,Pulsar 150,77767,32074.53,2020
Honda,Unicorn,273211,122035.75,2018
Honda,Unicorn,93378,47741.69,2024
Royal Enfield,Himalayan,170910,103132.98,2024
Bajaj,Pulsar 150,162651,91618.92,2018
Bajaj,CT 100,245204,110531.96,2020
KTM,250 Duke,258174,146691.53,2020
KTM,390 Adventure,274493,208818.09,2017
KTM,390 Adventure,288204,197776.78,2016
Hero,Glamour,138595,69616.53,2016
Hero,HF Deluxe,269366,145505.07,2024
Yamaha,MT-15,185605,85728.06,2017
KTM,390 Adventure,303416,157281.93,2023
Kawasaki,Ninja 300,70806,43484.1,2018
Bajaj,Pulsar 150,381773,218593.41,2017
KTM,390 Adventure,176529,76436.96,2021
Yamaha,FZ V3,365910,180553.32,2022
KTM,Duke 200,241646,97027.78,2024
Royal Enfield,Interceptor 650,142945,81802.72,2019
TVS,Apache RTR 160,127183,87580.71,2023
Honda,Activa,203623,104437.95,2018
Kawasaki,Z650,350436,209018.31,2016
Bajaj,Avenger 220,60422,37439.43,2022
Kawasaki,Ninja 300,121141,67014.18,2024
Hero,Passion Pro,370501,153246.94,2019
Yamaha,Ray ZR,338354,216642.3,2018
Kawasaki,Z650,233705,120190.6,2018
KTM,RC 390,130071,83183.4,2021
Hero,Glamour,271959,170714.74,2017
Honda,Activa,146782,116707.21,2019
KTM,Duke 200,278881,203228.28,2023
Honda,Activa,387696,248650.31,2020
Kawasaki,Z650,53111,36172.87,2021
KTM,250 Duke,294491,147247.44,2024
Honda,CBR 650R,244338,105547.93,2017
Bajaj,Dominar 400,106027,48946.7,2020
Bajaj,Pulsar 150,262059,158611.79,2018
Hero,HF Deluxe,160474,84888.54,2015
TVS,Jupiter,399947,263792.36,2024
KTM,250 Duke,218063,102800.01,2023
Hero,Glamour,234631,178336.16,2020
Honda,CBR 650R,358685,286753.77,2016
Honda,CBR 650R,348235,185857.29,2019
Hero,Splendor Plus,192226,143342.39,2023
KTM,390 Adventure,272350,181409.72,2022
KTM,125 Duke,302101,123879.97,2019
Kawasaki,Ninja 400,272238,214272.65,2017
KTM,Duke 200,54432,31954.88,2017
Yamaha,FZ V3,219420,123518.34,2015
TVS,Jupiter,225319,103128.9,2015
Yamaha,FZ V3,82411,45607.08,2024
KTM,RC 390,52478,23506.38,2016
Bajaj,Platina 110,314409,152029.42,2020
TVS,Jupiter,135451,75823.25,2021
Yamaha,Ray ZR,161169,115123.89,2016
Honda,CBR 650R,130042,81080.64,2023
KTM,125 Duke,341492,191932.03,2024
Bajaj,Pulsar 150,102635,79078.91,2024
KTM,250 Duke,110759,84368.94,2019
TVS,Sport,290735,181971.77,2023
Kawasaki,Vulcan S,133384,67342.32,2021
KTM,125 Duke,89699,43131.88,2021
Kawasaki,Versys 650,123347,65008.12,2020
Kawasaki,Ninja 300,207047,134135.64,2020
Royal Enfield,Interceptor 650,225007,106826.92,2016
Honda,Dio,166857,112614.08,2015
Yamaha,R15 V4,79000,34751.45,2021
Yamaha,Ray ZR,141709,80373.16,2022
Royal Enfield,Himalayan,399395,178330.5,2023
Bajaj,Avenger 220,177346,71646.38,2017
Hero,Splendor Plus,152392,84385.53,2023
Yamaha,Fascino 125,263406,117006.97,2021
Kawasaki,Versys 650,237648,185487.79,2020
Kawasaki,Z650,193414,87290.44,2023
Kawasaki,Ninja 400,265123,163847.29,2017
Hero,HF Deluxe,308713,229702.91,2024
Bajaj,Platina 110,139029,92061.05,2017
KTM,250 Duke,189781,103019.67,2021
Kawasaki,Versys 650,199105,125795.2,2022
Kawasaki,Versys 650,227378,157371.56,2019
KTM,250 Duke,310277,150081.69,2022
Bajaj,Dominar 400,369444,243530.84,2018
TVS,Jupiter,396323,174281.33,2018
Hero,Xtreme 160R,242978,113244.12,2016
Bajaj,Platina 110,215250,130107.12,2017
KTM,Duke 200,219945,142909.93,2015
Royal Enfield,Classic 350,358443,200632.66,2018
Honda,Activa,195672,145255.31,2019
TVS,NTorq 125,112087,61075.17,2017
TVS,Sport,197119,91158.66,2018
Royal Enfield,Meteor 350,64802,28264.55,2018
Bajaj,CT 100,68000,30586.37,2021
Kawasaki,Ninja 300,168650,72904.4,2017
TVS,NTorq 125,247338,173656.85,2024
Hero,Splendor Plus,378425,162500.49,2019
Hero,HF Deluxe,54587,28706.83,2022
Kawasaki,Ninja 300,112352,71251.41,2021
TVS,Sport,257083,158182.16,2015
Honda,Dio,117032,81219.18,2024
Royal Enfield,Classic 350,83246,64810.36,2019
Kawasaki,Ninja 300,130066,66426.77,2022
Yamaha,R15 V4,278282,117164.19,2024
TVS,Jupiter,235565,153002.06,2019
KTM,390 Adventure,218257,139074.96,2019
Yamaha,MT-15,365853,277049.78,2023
Kawasaki,Versys 650,365838,234660.41,2019
Bajaj,CT 100,361526,259264.05,2019
Hero,Glamour,330747,244730.04,2022
Bajaj,CT 100,291806,187276.82,2015
Bajaj,Pulsar 150,160049,73315.98,2020
Yamaha,R15 V4,168326,81070.11,2018
Honda,Dio,252818,175623.86,2021
TVS,Jupiter,367054,219320.14,2017
TVS,Apache RTR 160,216866,115909.81,2016
Honda,Shine,207384,165374.15,2020
KTM,RC 390,200700,82445.48,2019
KTM,390 Adventure,322699,255970.46,2021
Hero,Splendor Plus,285679,117592.57,2024
Kawasaki,Ninja 300,333795,266137.07,2019
Hero,Splendor Plus,234756,178216.21,2018
KTM,Duke 200,221918,90244.43,2018
Royal Enfield,Classic 350,124143,90106.03,2017
Yamaha,Fascino 125,239514,100321.32,2020
Kawasaki,Z650,207443,98515.44,2021
Honda,CBR 650R,247081,115819.6,2020
TVS,Apache RTR 160,248274,126642.89,2018
Kawasaki,Z650,109723,86593.88,2018
Royal Enfield,Himalayan,326969,237293.43,2022
TVS,Ronin,206799,147995.37,2022
Kawasaki,Ninja 300,202113,104235.21,2018
Honda,Unicorn,360048,202920.32,2016
Honda,CBR 650R,356770,223247.75,2022
Yamaha,R15 V4,391926,291269.32,2020
Yamaha,MT-15,383747,297382.68,2020
Royal Enfield,Interceptor 650,337433,183462.53,2019
Hero,HF Deluxe,149581,90222.67,2015
TVS,Ronin,387078,244185.8,2018
Honda,Activa,109212,82364.54,2019
Yamaha,Fascino 125,129706,79983.76,2023
Kawasaki,Versys 650,278740,147464.2,2017
Hero,Glamour,135694,92609.89,2022
Honda,Shine,377527,180076.05,2016
Hero,Glamour,236378,102288.64,2022
Kawasaki,Z650,260095,200074.23,2021
Honda,Activa,209333,117113.07,2020
Yamaha,FZ V3,315919,153144.88,2023
Kawasaki,Versys 650,213220,121080.49,2019
KTM,250 Duke,385042,227250.32,2020
Hero,Xtreme 160R,367822,252220.8,2015
Hero,HF Deluxe,145289,80923.04,2023
TVS,Sport,101424,72380.92,2018
Yamaha,MT-15,177720,82125.23,2018
TVS,NTorq 125,178749,127616.22,2022
Kawasaki,Z650,292338,172342.75,2020
Bajaj,CT 100,175588,133931.85,2024
TVS,Sport,80604,33162.09,2016
Honda,Shine,172611,136999.36,2016
Kawasaki,Z650,250686,113433.94,2019
KTM,250 Duke,317684,171844.98,2015
Honda,Shine,180010,131131.64,2018
TVS,Apache RTR 160,61250,27476.59,2019
TVS,Sport,86785,53031.1,2020
Kawasaki,Versys 650,321206,219324.45,2021
Royal Enfield,Interceptor 650,317324,156133.53,2023
KTM,125 Duke,51199,38637.65,2024
Royal Enfield,Classic 350,353703,224629.38,2022
KTM,RC 390,379899,228179.65,2022
Honda,Dio,109881,73987.57,2015
Honda,Dio,134085,102709.46,2017
Honda,Shine,129340,101307.34,2019
Hero,HF Deluxe,222477,176682.34,2017
Honda,Unicorn,156889,71631.46,2020
Yamaha,FZ V3,383357,189807.29,2021
Yamaha,Fascino 125,123029,49873.12,2024
Yamaha,MT-15,122958,79251.53,2022
Bajaj,Dominar 400,198473,123536.0,2020
Kawasaki,Vulcan S,369629,190323.93,2023
Yamaha,MT-15,87368,38999.91,2016
Hero,Glamour,245356,157058.5,2020
Bajaj,Dominar 400,302614,233888.27,2022
Yamaha,FZ V3,169247,102086.43,2019
Royal Enfield,Hunter 350,365204,245824.44,2021
TVS,Jupiter,236535,97997.7,2015
KTM,390 Adventure,129070,78938.84,2023
Honda,Activa,132565,84785.84,2016
Honda,Shine,348422,139521.69,2016
KTM,Duke 200,80979,38335.57,2015
Kawasaki,Versys 650,118442,70991.64,2018
TVS,NTorq 125,220126,161810.42,2017
Honda,Shine,275378,141482.68,2018
Hero,Glamour,287128,154449.89,2016
Yamaha,MT-15,78890,52984.95,2022
Bajaj,CT 100,300772,137112.82,2018
Honda,CBR 650R,316005,177112.59,2017
Yamaha,R15 V4,284895,183167.13,2015
Kawasaki,Ninja 400,253102,114952.95,2018
Kawasaki,Z650,138891,77396.55,2024
Kawasaki,Ninja 400,127508,70436.41,2023
KTM,125 Duke,298060,229329.7,2016
Kawasaki,Ninja 300,281287,153527.96,2019
TVS,Apache RTR 160,294124,214936.68,2024
Yamaha,MT-15,221471,106143.17,2019
Hero,HF Deluxe,87748,45205.06,2016
Hero,Passion Pro,131731,90970.9,2023
Royal Enfield,Classic 350,273016,113221.61,2019
TVS,NTorq 125,223213,98673.83,2015
Yamaha,Fascino 125,115803,89578.54,2021
KTM,RC 390,268301,122697.86,2023
Royal Enfield,Hunter 350,216555,163233.92,2019
Kawasaki,Ninja 400,337526,198523.18,2024
Royal Enfield,Himalayan,72937,55519.91,2024
TVS,Sport,386140,204755.87,2022
Kawasaki,Versys 650,179421,122946.51,2021
TVS,Jupiter,342311,148923.91,2017
Bajaj,Dominar 400,208714,103831.04,2017
Royal Enfield,Classic 350,393592,259779.98,2023
Hero,HF Deluxe,81194,44770.84,2016
Bajaj,Platina 110,150919,65188.48,2018
Honda,Shine,391585,218327.65,2023
TVS,Apache RTR 160,189730,144867.38,2018
Bajaj,Pulsar 150,375802,179720.15,2015
Royal Enfield,Interceptor 650,96704,69578.19,2020
Hero,HF Deluxe,346104,149455.05,2023
Bajaj,Dominar 400,118347,62225.75,2019
Bajaj,Avenger 220,231855,113904.88,2023
Honda,Activa,210669,143302.45,2024
Bajaj,Platina 110,389965,199139.69,2021
Kawasaki,Ninja 300,341300,239500.19,2021
Hero,Passion Pro,254700,202347.68,2023
Honda,Dio,235615,144808.46,2016
Hero,HF Deluxe,114587,71766.04,2016
Hero,Glamour,349976,162049.17,2023
Yamaha,FZ V3,192382,94086.31,2018
Bajaj,Pulsar 150,54691,33258.39,2015
Royal Enfield,Classic 350,346801,169455.28,2019
Royal Enfield,Meteor 350,397994,233885.8,2022
Royal Enfield,Himalayan,306468,178561.96,2018
Royal Enfield,Interceptor 650,223508,141111.88,2023
KTM,125 Duke,85986,59323.29,2015
Yamaha,FZ V3,326606,245054.65,2017
KTM,390 Adventure,198398,147277.41,2022
Bajaj,Dominar 400,134919,80007.99,2021
TVS,NTorq 125,180146,114190.26,2016
TVS,Sport,106054,52184.78,2021
TVS,Ronin,91772,55227.17,2016
Hero,HF Deluxe,259064,137129.75,2018
TVS,Sport,369956,262901.44,2019
Honda,Unicorn,96567,44510.32,2016
Royal Enfield,Interceptor 650,220047,170994.63,2024
Bajaj,CT 100,390081,273064.16,2022
Royal Enfield,Interceptor 650,278869,204981.35,2021
Kawasaki,Ninja 300,125985,88636.91,2021
Yamaha,FZ V3,257288,119156.07,2016
Bajaj,Pulsar 150,305662,228436.49,2021
Royal Enfield,Interceptor 650,105209,81112.04,2021
Yamaha,MT-15,291615,220795.37,2018
TVS,Apache RTR 160,396246,277498.33,2019
KTM,250 Duke,97145,47962.44,2021
Kawasaki,Vulcan S,347851,217089.62,2015
Honda,Activa,382031,292352.12,2017
Hero,Splendor Plus,251452,159627.07,2023
Honda,Shine,320441,137956.13,2022
KTM,Duke 200,199560,123667.87,2019
Honda,Activa,227822,123106.53,2023
TVS,NTorq 125,329447,187838.37,2022
TVS,Apache RTR 160,389657,254044.65,2017
Kawasaki,Ninja 300,294209,129355.18,2020
Hero,Passion Pro,138975,78074.38,2019
Yamaha,Ray ZR,247472,160041.09,2015
Royal Enfield,Classic 350,397044,259274.4,2015
TVS,Sport,143320,83758.37,2018
Royal Enfield,Hunter 350,121856,51815.91,2022
KTM,250 Duke,380086,228000.07,2019
Bajaj,Dominar 400,183830,112050.37,2018
Hero,Passion Pro,191662,92747.91,2023
TVS,Jupiter,300978,125559.89,2017
Royal Enfield,Himalayan,378786,288560.4,2018
Yamaha,R15 V4,207133,96567.04,2019
Royal Enfield,Interceptor 650,243239,126781.54,2016
Kawasaki,Ninja 400,332984,166987.38,2016
Honda,CBR 650R,267155,172741.87,2019
Hero,Xtreme 160R,119748,75200.4,2018
TVS,Ronin,185271,125024.26,2021
Yamaha,FZ V3,188341,141631.49,2017
Kawasaki,Ninja 400,346940,271026.9,2021
Bajaj,Pulsar 150,67023,39382.7,2019
Bajaj,Dominar 400,217209,127707.23,2018
Honda,CBR 650R,152107,73290.91,2022
Kawasaki,Z650,138192,87501.66,2015
Yamaha,MT-15,300725,196290.58,2024
Kawasaki,Versys 650,173241,80310.59,2016
Yamaha,Ray ZR,356884,270695.03,2021
Bajaj,Avenger 220,361503,216550.84,2023
Yamaha,Ray ZR,306155,190042.83,2020
Bajaj,Platina 110,263400,185409.39,2016
TVS,Sport,218038,165571.72,2019
KTM,125 Duke,111735,62519.05,2016
Yamaha,FZ V3,252345,169430.72,2022
Kawasaki,Z650,212309,96183.12,2020
Hero,Xtreme 160R,59078,26023.67,2018
Kawasaki,Ninja 400,345444,144384.0,2021
KTM,250 Duke,122309,68963.31,2017
Bajaj,Avenger 220,299575,183246.53,2024
Yamaha,MT-15,361167,259462.47,2021
Royal Enfield,Interceptor 650,204562,101581.18,2018
Honda,Dio,163499,103832.58,2018
Hero,Xtreme 160R,160356,104491.6,2016
Yamaha,Ray ZR,157823,80807.15,2021
KTM,390 Adventure,365338,287204.07,2017
Yamaha,MT-15,316817,218452.41,2016
Royal Enfield,Meteor 350,131719,66650.07,2021
Royal Enfield,Hunter 350,208965,133023.75,2023
Yamaha,MT-15,62265,41529.91,2021
Honda,Dio,71213,48477.42,2017
Bajaj,Avenger 220,122556,65906.85,2022
Royal Enfield,Meteor 350,155285,77003.53,2024
Bajaj,Pulsar 150,308461,137073.93,2019
TVS,Ronin,104899,60975.26,2022
Yamaha,FZ V3,355076,242435.15,2016
Kawasaki,Z650,62852,41244.5,2019
Hero,Splendor Plus,144185,76320.51,2016
KTM,250 Duke,213162,145178.14,2022
Royal Enfield,Meteor 350,324732,224204.78,2019
KTM,125 Duke,336209,223381.32,2024
Honda,Dio,273884,124004.06,2018
Kawasaki,Z650,314584,219958.47,2015
TVS,Ronin,240231,141866.65,2020
KTM,RC 390,356108,173330.15,2018
Kawasaki,Z650,67921,45000.44,2022
Honda,Shine,243984,192126.79,2015
Honda,Unicorn,395126,169603.62,2022
Royal Enfield,Classic 350,74617,49800.49,2020
Yamaha,MT-15,214451,86133.53,2022
Hero,Xtreme 160R,350203,172062.04,2017
Honda,Dio,50112,39410.34,2020
Yamaha,FZ V3,192503,119614.15,2024
Honda,Unicorn,320464,219317.19,2022
Honda,Activa,302547,124843.95,2019
Kawasaki,Vulcan S,270916,129563.68,2021
Yamaha,Ray ZR,316406,134535.03,2024
Honda,Shine,92527,52249.09,2024
Royal Enfield,Hunter 350,62554,37976.67,2015
KTM,RC 390,134064,89906.4,2015
Bajaj,Avenger 220,78373,47807.02,2021
Royal Enfield,Classic 350,115466,61932.76,2019
Yamaha,Ray ZR,379058,164920.38,2018
TVS,Apache RTR 160,215716,98086.74,2019
TVS,NTorq 125,314719,188629.11,2019
TVS,Apache RTR 160,172845,97748.54,2016
KTM,Duke 200,253528,158143.71,2022
Honda,Activa,268594,140280.29,2023
Hero,Glamour,293513,180818.3,2022
Yamaha,MT-15,203640,116681.74,2017
Royal Enfield,Himalayan,101253,47798.12,2016
KTM,250 Duke,75509,51462.57,2018
Royal Enfield,Interceptor 650,317135,190989.03,2020
Kawasaki,Vulcan S,98549,75458.54,2024
Kawasaki,Ninja 300,77953,46246.45,2020
TVS,Sport,139510,86222.46,2019
Yamaha,MT-15,154439,78107.38,2017
KTM,250 Duke,373932,149717.9,2023
Honda,CBR 650R,116871,69753.06,2021
Hero,HF Deluxe,326445,154426.39,2023
Royal Enfield,Classic 350,373254,224665.99,2018
Hero,Xtreme 160R,159907,84072.18,2024
Yamaha,Ray ZR,107405,56453.9,2019
Kawasaki,Vulcan S,226972,129343.32,2020
KTM,250 Duke,369158,235766.03,2016
Kawasaki,Ninja 400,241888,98444.99,2021
TVS,Ronin,120481,88606.8,2018
TVS,Apache RTR 160,292433,141288.16,2015
Yamaha,R15 V4,394203,288408.48,2016
KTM,Duke 200,376474,170716.24,2023
Honda,CBR 650R,86010,60952.06,2024
KTM,125 Duke,157134,81972.33,2016
Hero,Splendor Plus,72038,52400.2,2015
Honda,Activa,161847,64869.6,2020
TVS,NTorq 125,135871,56773.91,2016
Kawasaki,Versys 650,71962,37689.17,2020
Yamaha,MT-15,327657,214846.38,2020
Hero,Xtreme 160R,370830,180900.56,2016
TVS,Jupiter,346100,190309.95,2022
Yamaha,Ray ZR,258965,165475.13,2023
Bajaj,Dominar 400,139018,86610.44,2020
Bajaj,Avenger 220,297558,225882.53,2023
Bajaj,Platina 110,175556,114103.03,2020
Bajaj,CT 100,361761,210559.14,2019
Kawasaki,Z650,171623,72876.69,2024
Kawasaki,Ninja 400,117893,66086.03,2019
TVS,Sport,234794,155480.82,2022
Honda,Dio,112916,63461.02,2021
Hero,Xtreme 160R,92631,59019.42,2018
Kawasaki,Ninja 300,394873,245367.39,2015
Yamaha,Ray ZR,121384,67718.15,2019
Bajaj,Dominar 400,311547,238752.7,2018
